Company,County Located,4x2 Utility Vehicles,Air Compressors & Generators (truck mounted),Alternate Fuel Conversions,Alternate Fuel Vehicles,Body Upfits,Bucket Trucks,Cab & Chassis,Cranes (truck mounted),Garbage Trucks,Hydraulic Systems (truck mounted),Liftgates,Lifts- Vehicle Mobile (which do not require construction),Liquid Winter Maintenance Systems (truck mounted),Pickup Trucks and Cargo Vans,Recycling Trucks,Salt/Sand Spreaders (truck mounted),Snowplows (truck mounted),Trailers,Vacuum Trucks/Street Sweepers,Manufacturers,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
"Frank Buck Motors, Inc. d/b/a Pocono Peterbilt",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Peterbilt Trucks,4/25/16,48557,,,,,,
Fred Beans Ford Lincoln Mitsubishi Isuzu,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,"American Isuzu Motors, Inc.; Ford Motor Company",9/7/15,48557,,,,,,
"Fyda Freightliner Pittsburgh, Inc.",Washington,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Freightliner; Western Star Trucks,4/21/16,48557,,,,,,
"G. L. Sayre, Inc.",,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,International Truck and Engine Corporation; Peterbilt Trucks; UD-Nissan Trucks,4/21/16,48557,,,,,,
GapVax Inc.,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"GapVax, Inc.",6/29/16,48557,,,,,,
Gibbons Ford,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,10/31/15,48557,,,,,,
"Golden Equipment Company, Inc.",Butler,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,"Aries; Dyna-Vac; GSP Marketing, Inc./G-S Products; Hi-Vac Corporation; Janiak; KANN Manufacturing Corporation; Spaulding Lighting; Stepp Manufacturing; Tymco; Wayne Engineering",4/21/16,48557,,,,,,
"GreenGo Tek, LLC",,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"GreenGo Tek, LLC",8/29/15,48557,,,,,,
GSP Marketing Inc.,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,"GSP Marketing, Inc./G-S Products",4/21/16,48557,,,,,,
"H. A. DeHart & Sons, Inc.",,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,"Air-Flo Manufacturing; Bonnell Industries, Inc.; Buyers Products Company; CADCo; Certified Power, Inc.; Cirus Controls; Curry Supply; Cyclone Air Power; DuraClass (TBEI); Galion-Godwin Truck Body Co., LLC; Good Roads, Inc.; GPM Pump and Trucks; GSP Marketing, Inc./G-S Products; GVM Snow Equipment; GVM Vac; H.A. DeHart & Son, Inc.; Henderson Manufacturing; Hippo Power Systems; JABCO; Knapheide Manufacturing Company; Loughberry Mfg. Corp.-TARCO; Maxon Lift Corp.; Meyer Products; Mickey Truck Bodies; MMD Equipment; New Way Trucks; Pak-Mor Limited; R.S. Technical Services; Rugby Manufacturing Co. (TBEI); Schodorf Body; Schwarze Industries Inc.; Scranton Mfg. Co., Inc.; Snow-Ex; Spartan Tools, LLC; Spaulding Manufacturing (Road Maintenance Vehicles); Sprayer Specialties; Stellar Industries, Inc.; Super Products; SwampLoader USA, Ltd.; Tamaqua Truck & Trailer Co., Inc.; The American Road Machinery Company; Thieman Tailgates, Inc.; Tommy Gate (Woodbine Mfg. Co.); Towmaster Trailers; Trail Eze Trailers; TruckCraft; Utility Truck Equipment, Mfg., LLC; Viking Cives; Waltco Truck Equipment Co.; WEATHER GUARD (Werner Co.)",4/21/16,48557,,,,,,
