Company,County Located,Desktop PCs and Monitors,Items to Support Multimedia Communications and LANs,Laptops/Notebooks and Personal Computing Devices,Peripherals and Networking Gear,Servers and Data Storage,Telephony Equipment and Software,Manufacturers,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
SCW-Southern Computer Warehouse,,Yes,Yes,Yes,Yes,Yes,Yes,"3Com; 3Dconnexion, Inc.; 3M; Acer (IT Hardware and Electronics); Adaptec; ADTRAN, Inc.; Alcatel-Lucent; Aleratec; Anchor Audio; APC by Schneider Electric (formerly American Power Conversion Corp.); Apple; Astaro; Asus; AverMedia Information; Avery Dennison; Avocent; Axis Communications; Barracuda Networks; Belkin; Bell & Howell; BenQ; Bosch Communication Systems (Telex/Electro-Voice); Bretford Manufacturing (Technologyenabled Furniture); Brocade; Brother International Corp.; Cables To Go; Canon USA; Case Logic; Casio; Channel Vision Technology; Chief Manufacturing; Cisco Systems; Citrix; Coby Electronics Corporation; Crown Audio, Inc. (Crown International); Cyber Acoustics; CyberData Corporation; D-Link; Da-Lite Screen Co.; Data Domain (Div. of EMC Corp.); Denon & Marantz (D&M) Professional; Digi International, Inc.; Draper, Inc.; Dymo; EDGE Tech Corporation; EMC Corporation (IT Hardware, Storage, Software); Enterasys Networks, Inc.; Epson; Ergotron; Extreme Networks; Fellowes; Fluke Networks; Fortinet; Fujitsu; Gamber-Johnson; GammaTech; GE (General Electric); Gefen Systems; Hewlett-Packard (HP); Hitachi; Honeywell; IBM; Ideal Industries; Imation; IOMEGA; Jensen Brand (Audiovox); Juniper Networks (US), Inc.; JVC Americas Corp.; Kensington Technology Group; Kenwood; Kingston Technology; Kodak; Kofax Software; Konica Minolta; Kramer Electronics; Kyocera; LaCie; Lenovo; Lexmark; LG Electronics, Inc.; Liebert; LifeSize; Linksys; Logitech; Marshall Electronics, Inc; Maxell; McAfee; Memorex; Meru Networks; MicroSemi (formerly PowerdSine); Mitsubishi Electric Visual & Imaging Systems; Monster Cable; NEC; NetGear; Nortel Networks; NuTone; OPTOMA; Orion Images (LCD/LED CCTV); Otter Products; Overland Storage; Panasonic; Peerless Industries, Inc. (AV/Mounts); Pelco by Schneider Electric; Pelican; Pentax; PINNACLE SYSTEMS, INC.; Pioneer Electronics; Planar Systems, Inc.; Plantronics; PNY Technologies; Polycom; Premier Mounts; PRIMERA TECHNOLOGY, INC.; PROMISE Technology, Inc.; Proxim; Proxima; Qlogic; QNAP; Quantum (Storage, Archive and Data protection); Ricoh; Samsung; SanDisk; SANUS SYSTEMS; Sanyo North America; Seagate Technology; Sharp Electronics Corporation; Siemens Corporation; Sierra Wireless; SMART Technologies; Sonic Foundry; SonicWALL; Sonnet Tech; Sony; Tandberg, Inc.; Targus; TEAC America, Inc.; Topaz; Toshiba; TRENDnet; Tripp Lite; V7; VERBATIM; Videolarm; Viewsonic; Vivitek; Vizio; Wyse; Xerox; Yamaha; Zebra Technologies",8/17/15,48753,,,,,,
"Seneca Data Distributors, Inc. dba Seneca Data",,Yes,Yes,Yes,Yes,Yes,Yes,"3Com; 3M; Access Communications, Inc.; ACCPAC International, Inc.; Acer (IT Hardware and Electronics); Adaptec; ALPS Electric Co., Ltd.; AMD-Advanced Micro Devices, Inc.; APC by Schneider Electric (formerly American Power Conversion Corp.); Asus; Belkin; Cables Unlimited; Certance; Computer Associates; Creative Labs, Inc.; Cyber Acoustics; D-Link; Digi International, Inc.; DigiPOS; Dymo; Equinox; Ergotron; EVGA; Hewlett-Packard (HP); Intel; IOMEGA; Key Tronic Corporation; Lexmark; LG Electronics, Inc.; Linksys; Logitech; Lonetar; LSI Logic Corporation (Storage/Networking); Microsoft Corporation; MotionComputing; MSI; Multi-Tech Systems; Nexlink; Oki Data; PROMISE Technology, Inc.; Samsung; SCO; Seagate Technology; Seneca Data; SMART Technologies; Sony; SuperMicro; Symantec; Tandberg, Inc.; Tech Data Corporation-Vendor Line Card; US Robotics; Veritas; Western Digital; Wyse",9/9/15,48753,,,,,,
SHI International Corp.,,Yes,Yes,Yes,Yes,Yes,Yes,"Acer (IT Hardware and Electronics); APC by Schneider Electric (formerly American Power Conversion Corp.); Belkin; Cisco Systems; Dell; EMC Corporation (IT Hardware, Storage, Software); Fujitsu; Hewlett-Packard (HP); Intel; Jabra; Lenovo",10/17/15,48753,,,,,,
"Sidium Solutions, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,Barracuda Networks; Cisco Systems; Citrix; Hewlett-Packard (HP); Lexmark; Microsoft Corporation; VMWare; Websense,6/7/16,48753,,,,,,
"Sirius Computer Solutions, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,Cisco Systems; IBM; Lenovo; StorServer,9/9/15,48753,,,,,,
"Softmart Government Services, Inc. dba Soft",,Yes,Yes,Yes,Yes,Yes,No,"Acer (IT Hardware and Electronics); Adaptec; Alcatel-Lucent; AOC; APC by Schneider Electric (formerly American Power Conversion Corp.); Asus; Attachmate; Avaya; Barracuda Networks; Belkin; Cables To Go; Cisco Systems; DLink; Dell; Emulex; Epson; Fujitsu; Hewlett-Packard (HP); Hitachi; IBM; Ingram Micro-Line Card; Intel; IOGear; JVC Americas Corp.; Kensington Technology Group; Kingston Technology; Konica Minolta; LaCie; Lenovo; Lexmark; LG Electronics, Inc.; Linksys; Logitech; Maxell; Motorola, Inc.; NEC; NetGear; Oki Data; Overland Storage; Panasonic; Plantronics; PNY Technologies; Proxima; Qlogic; Quantum (Storage, Archive and Data protection); RSA (Div. of EMC Corp.); Samsung; SanDisk; Seagate Technology; SIMPLE TECH INC.; SmartDisk Corporation; SonicWALL; Sony; Symbol Technologies; Targus; Tech Data Corporation-Vendor Line Card; The Douglas Stewart Co.-Line Card; Toshiba; Tripp Lite; US Robotics; Viewsonic; Visioneer; Watchguard; Western Digital; Wyse; Xerox; Zebra Technologies",3/25/16,48753,,,,,,
solutions4Networks,Allegheny,Yes,Yes,Yes,Yes,Yes,Yes,Cisco Systems,9/3/15,48753,,,,,,
"Solutionz Video Conferencing, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,Polycom,4/12/16,48753,,,,,,
"Springboard Media, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,"Adobe; APC by Schneider Electric (formerly American Power Conversion Corp.); Apple; ATI Technologies; Atto; Belkin; Brother International Corp.; D-Link; Data Robotics; Epson; FileMaker; Fujitsu; Hewlett-Packard (HP); Hitachi; Intuit; Kensington Technology Group; Kingston Technology; LaCie; Linksys; Logitech; Microsoft Corporation; NEC; NetGear; Nuance; Promethean; Quark; Ricoh; Samsung; Seagate Technology; SonicWALL; Sonnet Tech; Tandberg, Inc.; Viewsonic; VMWare; Wacom; Western Digital",6/29/15,48753,,,,,,
Staley Communication,Allegheny,No,Yes,Yes,Yes,Yes,No,"Cambium; Motorola, Inc.; TESSCO",9/3/15,48753,,,,,,
Star Audio/Visual Repair,,No,Yes,No,Yes,No,No,"3M; Balt; Best Rite; Bretford Manufacturing (Technologyenabled Furniture); Cables To Go; Califone International, Inc.; Canon USA; Chief Manufacturing; Comprehensive Video; Da-Lite Screen Co.; Draper, Inc.; Dukane; Eiki; ELMO USA; Fender (Pro Audio-Passport); Hamilton Buhl; Luxor; Magic Box, Inc.; Manfrotto; MooreCo, Inc. (Furniture & Equip); Peerless Industries, Inc. (AV/Mounts); Premier Mounts; TecNec Distributing; Wolfvision",9/1/15,48753,,,,,,
"Star Tech, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,"ShoreTel VOIP Product Line; Stars Tech, Inc.",11/12/15,48753,,,,,,
"Starlite Productions International, Inc.",,No,Yes,No,No,No,No,"AKG Acoustics; APC by Schneider Electric (formerly American Power Conversion Corp.); Ashly Audio; Atlas Sound; Audio Technica; Audix; Aurora Multimedia; Aviom; Bosch Communication Systems (Telex/Electro-Voice); BSS Audio by Harman; ClearCom; Community Loudspeakers; Crest Audio; Crestron; Crown Audio, Inc. (Crown International); Da-Lite Screen Co.; DaCappo; Danley Sound Labs; dbx by Harman; Denon & Marantz (D&M) Professional; DPA Microphones; Draper, Inc.; Earthworks Microphones; Eiki; Electro-Voice (EV); Exhibio; FSR, Inc.; Furman Audio; Galaxy Audio; JBL by Harman; Juice Goose; Lab Gruppen; Lexicon; LifeSize; Listen Technologies; Marshall Electronics, Inc; Marshall Furniture; Middle Atlantic Products; Mulnix Industries; OmniMount; One Systems; Premier Mounts; QSC Audio Products, LLC; Rane Professional Audio Products; Renkus-Heinz Loudspeakers; Sanyo; Sennheiser; Shure; Soundcraft by Harman; SoundTube Entertainment; Symetrix; Tascam; Telex; West Penn Wire; Whirlwind",8/30/15,48753,,,,,,
Summit Technology Consulting Group LLC,,Yes,Yes,Yes,Yes,Yes,Yes,Dell; Hewlett-Packard (HP); Ingram Micro-Line Card; NetApp; Sophos,12/16/15,48753,,,,,,
"Sun Management, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,"A10 Networks; Aerohive Networks; FireEye, Inc. (IT Hardware); Infoblox; Juniper Networks (US), Inc.; Palo Alto; Tufin",3/7/16,48753,,,,,,
"Sunrise Computers, digitalSunrise (Sunrise Electronic Distributing Company DBA)",,Yes,Yes,Yes,Yes,Yes,Yes,"3Com; Allen Tel Products, Inc.; APC by Schneider Electric (formerly American Power Conversion Corp.); Bogen Communications, Inc.; D&H Distributing Co., Inc.; Hewlett-Packard (HP); Ingram Micro-Line Card; Lenovo; Leviton Manufacturing Co., Inc.; SKMac-Samuel K. Macdonald; SonicWALL; Synnex Corporation-Line Card; Viewsonic; Xerox",9/28/15,48753,,,,,,
synergIT Incorporated,Allegheny,Yes,Yes,Yes,Yes,Yes,Yes,Cisco Systems; Citrix; Data Domain (Div. of EMC Corp.); HewlettPackard (HP); NetGear; Nimble Storage; OPNET; Spectrum Industries (Furniture); Tintri; VMWare,9/9/15,48753,,,,,,
"Systems Management Planning, Inc. (SMP)",,Yes,Yes,Yes,Yes,Yes,Yes,"Cisco Systems; Dell; EMC Corporation (IT Hardware, Storage, Software); Liquidware Labs; NetApp; Nimble Storage; Veeam Software; VMWare",11/13/15,48753,,,,,,
"Szymanski Consulting, Inc",,Yes,Yes,Yes,Yes,Yes,Yes,IBM; Lenovo; Xerox,12/7/15,48753,,,,,,
Texolve Digital,Allegheny,No,No,No,Yes,No,No,"AJA Video Systems; Anton Bauer; Blackmagic Designs; Bosch Communication Systems (Telex/ElectroVoice); Broadcast Pix; Canon USA; For-A; G-Tech; Grass Valley Group; Harris Broadcast; Ikegami; Manfrotto; Microboards; Middle Atlantic Products; NewTek; Panasonic; Ross Video Production Tech; TECADS, Inc.; Videssence",11/5/15,48753,,,,,,
"Total Video Products, Inc",,Yes,Yes,No,Yes,No,Yes,ClearOne; Crestron; Middle Atlantic Products; NEC,5/1/16,48753,,,,,,
"Tri-State Video Services, Inc",,Yes,Yes,No,Yes,Yes,Yes,"Anchor Audio; Audio Technica; Broadcast Pix; Chief Manufacturing; Compix Media; Edirol; JVC Americas Corp.; Kramer Electronics; LEIGHTRONIX; Libec; Magic Box, Inc.; Manfrotto; Marshall Electronics, Inc; Mobileband Communications, Inc.; NewTek; OPTOMA; Panasonic; Premier Mounts; Production Intercom; Prompter People - Flo Light; Qomo HiteVision, LLC; Sanyo; SHOREVIEW Distribution; Sierra Wireless; Sony; Stewart Instruments; SVSi - Southern Vision Systems, Inc.; Symco; Winsted",8/2/15,48753,,,,,,
"Troxell Communications, Inc",,No,No,Yes,Yes,No,No,"3M; ACCO Brands; Accu-Tech (Voice & Data Cabling Products); ADS Technologies; AGI; AKG Acoustics; Almo Corporation; Altinex; AmpliVox Sound Systems; AMX; Anchor Audio; Anthro; Anton Bauer; Apollo Audio Visual (ACCO Brands); Ashly Audio; Astatic; Atlas Sound; Audio Technica; Audix; Aurora Multimedia; AV Rover; AV Tool; Avcom; AverMedia Information; Azden Corporation; Balt; Beachtek; Behringer; Belkin; BenQ; Best Rite; Biamp Systems; Blonder Tongue; Boeckeler Instruments, Inc.; Bogen Communications, Inc.; Bosch Communication Systems (Telex/Electro- Voice); Bretford Manufacturing (Technologyenabled Furniture); BSS Audio by Harman; BTX Technologies, Inc.; Cables Unlimited; CAD Audio; Califone International, Inc.; Canon USA; Chief Manufacturing; ClearOne; ComCables; Communications Specialties, Inc.; Compix Media; Comprehensive Video; Countryman Associates, Inc.; Covid, Inc.; Crestron; Crown Audio, Inc. (Crown International); D&H Distributing Co., Inc.; Da-Lite Screen Co.; dbx by Harman; Denon & Marantz (D&M) Professional; Draper, Inc.; EAWEastern Acoustic Works; Eiki; ELMO USA; Epson; FUJI; Furman Audio; Gator Cases; Gefen Systems; Grundorf; H. Wilson Company; Hall Research Technologies; Hamilton Buhl; Hitachi; IEC Innovative Electronics; InFocus; Ingram Micro-Line Card; Intel; Intelix; Interlink Electronics; JBL by Harman; JELCO, Inc.; JVC Americas Corp.; Ken-A-Vision; Kensington Technology Group; Kingston Technology; Kramer Electronics; Lexicon; LG Electronics, Inc.; Liberty Wire and Cable; Listen Technologies; Lowel-Light Manufacturing; Lumens (Audio-Visual); Luxor; Mackie Audio; Manfrotto; Marshall Electronics, Inc; MEDIATECH; Middle Atlantic Products; Mitsubishi Electric Visual & Imaging Systems; Monster Cable;Mustang AV; Nady Systems, Inc.; Navitar; NEC; Oklahoma Sound Corp.; Olympus; OmniMount; OPTOMA; OWI, Inc.; Panasonic; Peavey Electronics Corporation; Peerless Industries, Inc. (AV/Mounts); Pelco; Pelican; Philips; PHONIC EAR; Planar Systems, Inc.; Polycom; Premier Mounts; Promethean; Prompter People; Qomo HiteVision, LLC; QSC Audio Products, LLC; Qwizdom; R.L. Drake Company; Raxxess; RECORDEX; Rise Vision, Inc.; RM Educational Software, Inc.; SAFARI Montage; Samson Technologies, Inc.; Samsung; Sanyo; Sennheiser; Shure; SMK-Link Electronics; Sony; SOUND PROJECTIONS; Soundcraft by Harman; SP Controls; Spectrum Industries (Furniture); Starin-AV Distributor Line Card; Synnex Corporation-Line Card; Tascam; TEAC America, Inc.; TEACH LOGIC INC.; Tech Data Corporation-Vendor Line Card; TecNec Distributing; TEKVOX, Inc.; Telex; TelVue Corporation; The Douglas Stewart Co.-Line Card; TOA Electronics, Inc.; ToCAD America, Inc.; Toshiba; Utronics, Inc.; Vaddio; VFI-Video Furniture International, Inc.; Viewsonic; Vivitek; Vutec; Williams Sound; Winsted; Xantech; Yamaha; Zenith",12/7/15,48753,,,,,,
"Two Technologies, Inc.",,No,No,Yes,No,No,No,"Two Technologies, Inc.",6/18/16,48753,,,,,,
Unisys Corporation,,Yes,Yes,Yes,Yes,Yes,Yes,"EMC Corporation (IT Hardware, Storage, Software); Oracle; Unisys Corporation",9/24/15,48753,,,,,,
Vector USA,,Yes,Yes,Yes,Yes,Yes,Yes,"Aruba Networks, Inc.; Avaya; Cisco Systems; Fortinet; Hewlett-Packard (HP); Polycom",1/14/16,48753,,,,,,
"Velocity Network, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,"Cisco Systems; Dell; EMC Corporation (IT Hardware, Storage, Software); Hewlett-Packard (HP); IBM; Lenovo; Samsung; Viewsonic",8/12/15,48753,,,,,,
"Video Visions, Inc",,Yes,Yes,Yes,Yes,Yes,Yes,ICS Technology; Orion Images (LCD/LED CCTV),12/22/15,48753,,,,,,
VION Corporation,,No,No,No,No,Yes,No,"Brocade; Connectivity Technologies, Inc. (CTI); Hitachi; IBM",8/15/15,48753,,,,,,
"Vision Business Products (Granville Associates, Inc. DBA)",Allegheny,Yes,Yes,Yes,Yes,Yes,No,"Acer (IT Hardware and Electronics); APC by Schneider Electric (formerly American Power Conversion Corp.); CMS Products, Inc.; Dell; Epson; Fellowes; HewlettPackard (HP); Hitachi; IBM; Imation; InFocus; Kensington Technology Group; Key Tronic Corporation; Lenovo; LG Electronics, Inc.; Logitech; Microsoft Corporation; NEC; Nexsan; Panasonic; Planar Systems, Inc.; Quantum (Storage, Archive and Data protection); Samsung; Seagate Technology; Sony; Toshiba; Viewsonic",7/18/15,48753,,,,,,
"Vistacom, Inc.",,No,Yes,No,No,No,No,"AMX; Barco Click Share; Biamp Systems; BSS Audio by Harman; Chief Manufacturing; ClearOne; Community Loudspeakers; Crestron; CyberTouch; EAWEastern Acoustic Works; ELMO USA; FSR, Inc.; Gentner ALS; LG Electronics, Inc.; Liberty Wire and Cable; Marshall Electronics, Inc; NEC; Panasonic; Premier Mounts; Revolabs; RGB Spectrum; Sanyo; Scala; SMART Technologies; Sonic Foundry; Sony; SVSi - Southern Vision Systems, Inc.; Vaddio; Vutec",4/6/16,48753,,,,,,
"Visual Sound, Inc.",,Yes,Yes,No,Yes,No,No,"Almo Corporation; Anchor Audio; Biamp Systems; Bose; Bretford Manufacturing (Technologyenabled Furniture); Chief Manufacturing; Comprehensive Video; Crestron; D&H Distributing Co., Inc.; Da-Lite Screen Co.; Draper, Inc.; Dukane; Eiki; H. Wilson Company; Infocor (Satalight); Inventive Technology, Inc. (Media Cast); Kramer Electronics; Luxor; Mitsubishi Electric Visual & Imaging Systems; NEC; Peerless Industries, Inc. (AV/Mounts); Polycom; Samsung; Scala; Sennheiser; Sharp Electronics Corporation; SHOREVIEW Distribution; SKMac-Samuel K. Macdonald; SMART Technologies; Sonic Foundry; SoundField (Phonak); Symco; TecNec Distributing; VBrick",9/24/15,48753,,,,,,
Weidenhammer Systems Corp.,,Yes,Yes,Yes,Yes,Yes,Yes,"Cisco Systems; EMC Corporation (IT Hardware, Storage, Software); Hewlett-Packard (HP); Hewlett-Packard (HP); IronPort Systems (Cisco)",9/9/15,48753,,,,,,
"Wireless Communications, Inc.",,No,Yes,No,No,No,No,Panasonic,2/11/16,48753,,,,,,
"Wolfington Body Co., Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,Radion Engineering Industries; Robotics Technologies Incorporated; Seon Design Inc.; Zentinel (Mobile/Video Surveillance),9/10/15,48753,,,,,,
"Worldgate, LLC.",,No,No,Yes,No,Yes,No,Dell,7/28/16,48753,,,,,,
"Zones, Inc.",,Yes,Yes,Yes,yes,Yes,Yes,Belkin; Brocade; Lenovo,9/3/15,48753,,,,,,
