Company,County Located,Desktop PCs and Monitors,Items to Support Multimedia Communications and LANs,Laptops/Notebooks and Personal Computing Devices,Peripherals and Networking Gear,Servers and Data Storage,Telephony Equipment and Software,Manufacturers,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
"Brothers Lazer Service, Inc.",,Yes,Yes,Yes,Yes,Yes,No,Hewlett-Packard (HP),12/16/15,48753,,,,,,
BT Conferencing Video Inc.,,No,No,No,Yes,No,No,"AVTEQ (AV carts, mounts, videoconferencing furniture); Crestron; LifeSize; NEC; Polycom",2/4/16,48753,,,,,,
Business Information Group,,Yes,Yes,Yes,Yes,Yes,Yes,"Alvarion, Inc.; APC by Schneider Electric (formerly American Power Conversion Corp.); BridgeWave, Inc.; Ceragon Networks, Inc.; Cisco Systems; Dell; Hewlett-Packard (HP); Microsoft Corporation; Motorola, Inc.; Nera, Inc.; OnSSI (On-Net Surveillance Systems, Inc.); Sony; Symantec; Tropos Networks, Inc.; Zix Corporation",10/28/15,48753,,,,,,
"Cambridge Computer Services, Inc",,No,No,No,Yes,Yes,No,Compellent; Fujitsu; NetApp; Pano Logic; Qlogic; Qualstar; Riverbed; Tegile Systems,10/7/15,48753,,,,,,
"Camcor, Inc.",,No,No,No,Yes,No,No,"3M; ACCO Brands; AmpliVox Sound Systems; Anchor Audio; Audio Technica; AverMedia Information; Azden Corporation; Balt; Bogen Communications, Inc.; Boxlight; Bretford Manufacturing (Technologyenabled Furniture); Califone International, Inc.; Canon USA; Chief Manufacturing; Comprehensive Video; Crestron; Da-Lite Screen Co.; Draper, Inc.; Dukane; Eiki; EiKO; ELMO USA; H. Wilson Company; Hamilton Buhl; InFocus; JVC Americas Corp.; Kramer Electronics; LG Electronics, Inc.; Liberty Wire and Cable; Logitech; LOWELL Manufacturing Co. (AV); Luxor; Microboards; Nady Systems, Inc.; Nikon; Olympus; OPTOMA; OWI, Inc.; Panasonic; Peerless Industries, Inc. (AV/Mounts); Samsung; Sennheiser; Sharp Electronics Corporation; Shure; Sony; TOA Electronics, Inc.; Viewsonic; Vivitek; Vutec",9/28/15,48753,,,,,,
"Candoris Technologies, LLC",,Yes,Yes,Yes,Yes,Yes,No,ArcMail; Dell; Hewlett-Packard (HP); NetApp; Riverbed; Xsigo,2/28/16,48753,,,,,,
Carahsoft Technology Corporation,,No,No,No,No,Yes,No,Data Domain (Div. of EMC Corp.); DataDirect Networks (DDN); Nimble Storage; Pillar Data Systems,3/14/16,48753,,,,,,
"Carousel Industries of Northamerica, Inc.",,No,No,No,Yes,No,Yes,"AcmePacket; Amcom; Aruba Networks, Inc.; Avaya; CallCopy; Extreme Networks; Fortinet; Juniper Networks (US), Inc.; Meru Networks; Polycom; Vidyo",9/30/15,48753,,,,,,
"CBM Business Machines (Cambria Business Machines, Inc. dba)",,Yes,Yes,Y^es,Yes,Yes,No,"3Com; Acer (IT Hardware and Electronics); Adobe; AOC; Apple; Autodesk; Brother International Corp.; Canon USA; Cisco Systems; Compaq; D-Link; DataViz; Dell; eMachines; Epson; Formax; Hewlett-Packard (HP); Hitachi; IOmega; IBM; Intel; Kingston Technology; KIP; Konica Minolta; Lenovo; Lexar; Lexmark; LG Electronics, Inc.; McAfee; Microsoft Corporation; NEC; NEC; Novell; Oki Data; Optiquest; Panasonic; PNY Technologies; Ricoh; Samsung; SanDisk; Sharp Electronics Corporation; Symantec; Systemax; Tom Tom; Toshiba; Transcend; Viewsonic; Xerox",1/14/16,48753,,,,,,
"CCL Technologies (Computer CenterLine of Greensburg, Inc. dba)",,Yes,Yes,Yes,Yes,Yes,Yes,"APC by Schneider Electric (formerly American Power Conversion Corp.); Astaro; Barracuda Networks; Cisco Systems; ClassLink; Datamation Systems; Epson; Hewlett-Packard (HP); iBoss Network Security; Lenovo; Liebert; Meraki; Mitsubishi Electric Visual & Imaging Systems; Peerless Industries, Inc. (AV/Mounts); Samsung; Toshiba; Trustwave; Veeam Software;",9/9/15,48753,,,,,,
CDI Computers (US) Corp.,,Yes,No,Yes,Yes,Yes,Yes,"Aastra USA, Inc.; Acer (IT Hardware and Electronics); Asus; Avaya; CDI Computers-Refurbished Products; Cisco Systems; Compaq; Dell; Epson; Hewlett-Packard (HP); IBM; Lenovo; Panasonic; Polycom; Samsung; Snom; Toshiba; Viewsonic",10/28/15,48753,,,,,,
"CDW, LLC",,Yes,Yes,Yes,Yes,Yes,Yes,Ingram Micro-Line Card; Tech Data Corporation-Vendor Line Card; Unitrends,9/8/15,48753,,,,,,
CENERO LLC,,No,Yes,No,Yes,No,No,"3M; Altinex; AMX; Anchor Audio; Atlas Sound; Audio Technica; Aurora Multimedia; Chief Manufacturing; Cisco Systems; ClearOne; Comprehensive Video; Contemporary Research; Crestron; Crown Audio, Inc. (Crown International); Da-Lite Screen Co.; Denon & Marantz (D&M) Professional; Display Devices; Draper, Inc.; ELMO USA; Epson; ETA Systems; FSR, Inc.; JBL by Harman; JVC Americas Corp.; Kramer Electronics; Liberty AV Solutions; LifeSize; Marshall Furniture; Middle Atlantic Products; Omnivex; Panasonic; Polycom; Polyvision; Premier Mounts; Rane Professional Audio Products; RDL-Radio Design Labs; Revolabs; Sharp Electronics Corporation; Shure; SMART Technologies; Surgex; Symetrix; Tannoy; TOA Electronics, Inc.; Toshiba; Vaddio; VBrick; Vidyo; Visix; West Penn Wire; Wolfvision",1/26/16,48753,,,,,,
"Clair Brothers Audio Systems, Inc.",,No,No,No,Yes,No,No,"Atlas Sound; Audix; Chauvet; Chief Manufacturing; Christie Digital Systems; Clair Brothers Manufacturing; Community Loudspeakers; Crest Audio; Da-Lite Screen Co.; Denon & Marantz (D&M) Professional; EAWEastern Acoustic Works; Ensemble Designs; Gator Cases; Hosa Technology; JBL by Harman; Lab Gruppen; LOWELL Manufacturing Co. (AV); ProCo Sound, Inc.; QSC Audio Products, LLC; Rane Professional Audio Products; Roland Systems Group; Ross Video Production Tech; Shure; Sony; Tannoy; ToteVision; Ultimate Support; West Penn Wire; Whirlwind; Yamaha",12/4/15,48753,,,,,,
"CNI Sales, Inc",,Yes,Yes,Yes,Yes,Yes,Yes,"Accelops; Aerohive Networks; APC; Aruba Networks, Inc.; Avaya; Barracuda Networks; Blue Coat Systems, Inc.; Cisco Systems; Code42; Coraid; Infoblox; Juniper Networks (US), Inc.; Loglogic; NetScout; Nortel Networks; Palo Alto; Xirrus",9/20/15,48753,,,,,,
Comm Solutions Company (Communication Cable Company dba),,Yes,Yes,Yes,Yes,Yes,Yes,"Alternative Technology; Aruba Networks, Inc.; Barracuda Networks; Blue Coat Systems, Inc.; Brocade; Cisco Systems; Compellent; Data Domain (Div. of EMC Corp.); Data Robotics; Enterasys Networks, Inc.; F5 Networks; Fortinet; Hewlett-Packard (HP); Infoblox; Palo Alto; Riverbed; ShoreTel VOIP Product Line; Tech Data Corporation-Vendor Line Card; Websense",10/13/15,48753,,,,,,
"Comm-Tech AV, LLC",,No,Yes,No,No,No,No,"3M; Altinex; AMX; APC; Atlas Sound; Audio Technica; Barco; C2G; Canon Computer Systems, Inc.; Chief Manufacturing; ClearOne; comprehensive; Crestron; Crown Audio, Inc. (Crown International); Dalite; dbx by Harman; Delta; Digital Projection, Inc.; Draper, Inc.; ELO; Epson; Furman Audio; Hitachi; Horizon Information Systems; Hypersound; InFocus; JBL by Harman; Just Add Power; Kramer Electronics; LG Electronics, Inc.; Listen Technologies; MAGENTA; Middle Atlantic Products; Nanolumans; NEC; OPTIMA; Panasonic; Peerless; Philips; Planar; Premier Mounts; QSC Audio Products, LLC; Samsung; Scala; Sharp Electronics Corporation; Soundcraft; Tascam; ToteVision; Touchsystems; Tripp Lite; Vaddio; Viewsonic",3/17/16,48753,,,,,,
"Communications Consulting, Inc. (CCI)",Allegheny,Yes,Yes,Yes,Yes,Yes,Yes,Alcatel-Lucent; Barracuda Networks; Dell; LifeSize; SonicWALL; Tech Data Corporation Vendor Line Card,5/22/16,48753,,,,,,
"Computer Connections (PA Computer Connections, Inc.)",,Yes,Yes,Yes,Yes,Yes,No,"Aruba Networks, Inc.; Lenovo; Lexmark; Oki Data; Pennsylvania Computer Connections, Inc.; Sophos",8/14/15,48753,,,,,,
"Computer Visionaries, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,"3Com; 3Dconnexion, Inc.; 3M; Aastra USA, Inc.; Acer (IT Hardware and Electronics); ADTRAN, Inc.; Agilent Technologies; Aiphone Corporation; Altronix; American Fibertek, Inc.; Anixter; APC by Schneider Electric (formerly American Power Conversion Corp.); Asus; Atlantis; Atlas Sound; Avocent; Axis Communications; BLine by Eaton (Cooper); Behringer; Belden; Belkin; Berk Tek; Blonder Tongue; Bogen Communications, Inc.; Bosch Security Systems; Brady; Brother International Corp.; Cables To Go; Cables Unlimited; Cablofil; Canon USA; Carlon; Chatsworth Products, Inc. (CPI); Chief Manufacturing; Cisco Systems; Coby Electronics Corporation; Coleman Cable; CommScope; Communications Specialties, Inc.; CompuLink; Creative Labs, Inc.; Cyber Acoustics; D&H Distributing Co., Inc.; D-Link; Datamation Systems; Dedicated Micros; Dell; Emerson; EnerSys; EnGenius; ERICO International Corporation-CADDY; Extreme Networks; F5 Networks; Firetide; FLIR Systems; Fluke Networks; Focus Enhancements; Fortinet; Fujinon; GAI-Tronics; GE Security; General Cable; Greenlee; Hannspree; HES; Hewlett-Packard (HP); HID Global Corporation; Hirschman; Imation; InFocus; Integral Technologies; IOGear; IQinVision; ITW Linx; JVC Americas Corp.; Kensington Technology Group; Keri Systems; Klein Tools, Inc.; Kodak; Konica Minolta; Kramer Electronics; Lenovo; Lexmark; LG Electronics, Inc.; Liebert; LifeSize; Linksys; Logitech; MicroSemi (formerly PowerdSine); Middle Atlantic Products; Milestone Systems; Minuteman; Mobotix; Monster Cable; nComputing; NEC; NetGear; NICE; OnSSI (On-Net Surveillance Systems, Inc.); Optical Cabling Systems; Orion Images (LCD/LED CCTV); Ortronics Inc.; Panasonic; Panduit; PASO Sound Products, Inc.; Peerless Industries, Inc. (AV/Mounts); Pelco by Schneider Electric; Pentax; Planar Systems, Inc.; Plantronics; Polycom; Premier Mounts; Proxim; Qlogic; Quantum (Storage, Archive and Data protection); RARITAN; Red Hat Corp.; S2 Security Corporation; Samsung; SanDisk; SDC-Security Door Controls; Seagate Technology; Securitron; Seneca Data; Shure; SonicWALL; Sony; Specified Technologies, Inc. (STI); Speco Technologies; SpectraLink; Superior Essex; T&B (Thomas & Betts); Tandberg, Inc.; Tappan; Targus; Tech Data Corporation-Vendor Line Card; Telex; TESSCO; TOA Electronics, Inc.; Toshiba; ToteVision; Transition Networks; TRENDnet; Tripp Lite; Tyco Electronics (AMP) Hubbel; Valcom; VERBATIM; Verint; Videolarm; Videotec; Viewsonic; Viking Electronics; Vivitek; West Penn Wire; Winsted; Wiremold",9/9/15,48753,,,,,,
Comstar Technologies,,Yes,Yes,Yes,Yes,Yes,Yes,Avaya; Panduit; Polycom,4/25/16,48753,,,,,,
Connectivity Communications Inc.,Allegheny,No,Yes,No,Yes,No,Yes,"Aerohive Networks; Altor Networks, Inc.; Aruba Networks, Inc.; Bluesocket; Juniper Networks (US), Inc.; M86 Security; Palo Alto; Radvision; Solar Winds",10/28/15,48753,,,,,,
CORE BTs,,Yes,Yes,Yes,Yes,Yes,Yes,"Checkpoint Technologies; Cisco Systems; Citrix; EMC Corporation (IT Hardware, Storage, Software); Hewlett-Packard (HP); Microsoft Corporation; Symantec; VMWare",8/13/15,48753,,,,,,
"Corl Communications, Inc.",,No,No,No,Yes,No,No,B-Line by Eaton (Cooper); TE Connectivity,4/16/16,48753,,,,,,
"Cross IT Services & Soutions, LLC",,Yes,Yes,Yes,Yes,Yes,No,"Advanced Computer & Network Corporation (AC&NC); Aerohive Networks; APC by Schneider Electric (formerly American Power Conversion Corp.); Dell; Hewlett-Packard (HP); Highly Reliable Systems; Lifetime Memory; Logitech; NetGear; PROMISE Technology, Inc.; Qlogic; SonicWALL; SuperMicro; Viewsonic; Wyse",6/21/16,48753,,,,,,
"CRUX, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,Ingram Micro-Line Card,11/29/15,48753,,,,,,
CS Technologies Plus/Computer Showcase (Radio Adventures Corp DBA),,Yes,Yes,Yes,Yes,Yes,No,Acer (IT Hardware and Electronics); Datamation Systems; Dell; EverFocus; Fujitsu; Hewlett-Packard (HP); Lenovo; Proteon,10/25/15,48753,,,,,,
Custom Computer.com (Myers Computer Service DBA),,Yes,Yes,Yes,Yes,Yes,No,Dell,4/5/16,48753,,,,,,
Dagostino Electronic Services,Allegheny,No,Yes,No,No,Yes,No,"AMX; Audio Technica; Chief Manufacturing; ClearOne; Comprehensive Video; Crestron; DaLite Screen Co.; Draper, Inc.; JBL by Harman; Nimble Storage; Polycom; Shure; Sonic Foundry; Starin-AV Distributor Line Card; Tandberg, Inc.; TOA Electronics, Inc.; TXL",5/15/16,48753,,,,,,
"DakTech, Inc.",,Yes,No,Yes,Yes,Yes,No,Asus; DakTech; MakerBot; Microsoft Corporation,4/21/16,48753,,,,,,
"Data Networks of America, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,"APC by Schneider Electric (formerly American Power Conversion Corp.); Aruba Networks, Inc.; Barracuda Networks; Cisco Systems; Dell; EMC Corporation (IT Hardware, Storage, Software); Juniper Networks (US), Inc.; Lightspeed Systems; Microsoft Corporation; Novell",1/7/16,48753,,,,,,
"Data Recovery Services, LLC",,Yes,Yes,Yes,Yes,Yes,Yes,"APC by Schneider Electric (formerly American Power Conversion Corp.); Cisco Systems; Eaton; EMC Corporation (IT Hardware, Storage, Software); Extreme Networks; Hewlett- Packard (HP); Liebert",4/21/16,48753,,,,,,
"Data911 (Hubb Systems, LLC)",,Yes,No,No,Yes,No,No,Data911,5/31/16,48753,,,,,,
Datalux Corporation,,Yes,No,Yes,No,No,No,Datalux Corporation,9/13/15,48753,,,,,,
DataMatrix Systems,Allegheny,Yes,Yes,Yes,Yes,Yes,No,Brocade; Citrix; CLI (Computer Labs International); CRU Dataport; Cyberpower Systems; Equal Optics; HewlettPackard (HP); Lenovo; Sendio; SonicWALL,9/15/15,48753,,,,,,
"Dauphin Data/Dauphin Electric [Consollidated/Dauphin Associates, Inc. dba]",,No,Yes,No,Yes,No,No,"Access Fiber Solutions, Inc.; APC by Schneider Electric (formerly American Power Conversion Corp.); APW Mayville; Brocade; Cisco Systems; D-Link; Digium; ERICO International Corporation-CADDY; General Cable; Hewlett-Packard (HP); Honeywell; Liebert; Optical Cabling Systems; Panduit; Primex; Signamax Connectivity Systems; SonicWALL; Tripp Lite; Turn-key Technologies, Inc.; Valcom; Z-band",11/16/15,48753,,,,,,
"DayOne Systems, LLC",,Yes,Yes,Yes,Yes,Yes,No,"Cisco Systems; Dell; Fujitsu; Hewlett-Packard (HP); IBM; Intel; Juniper Networks (US), Inc.; Lenovo; Linksys; Logitech; Samsung; Seagate Technology; Toshiba; Xerox",10/1/15,48753,,,,,,
"Delco Solutions, LLC",,No,Yes,No,Yes,No,No,Chief Manufacturing; Da-Lite Screen Co.; Epson; Meraki; Panasonic,7/3/16,48753,,,,,,
